200,-2000,1,5,0,2530,42,2,2,1
180,1000,1,51,1,123,10010,2,0,1
230,-2000,1,253,1,1406,123,66,2,1
190,1000,1,51,1,123,770,30,2,1
200,-2000,1,5,1,124,123,7,0,0
200,1000,1,3,0,1265,2310,182,0,0
200,-2000,0,0,0,638,266,22,1,1
240,1000,1,3,0,620,51,15,0,0
180,-2000,1,51,1,2090,5005,7,0,2
200,-2000,0,0,0,290,123,1001,2,3
250,1000,0,0,0,123,123,858,2,3
230,-2000,1,95,0,4930,70,14,0,0
1,1,1,1,1,1,1,1,1,1
10,10,10,10,10,10,10,10,10,10
100,100,100,100,100,100,100,100,100,100
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
200,-2000,0,0,0,123,39,273,2,1
200,1000,1,11,0,123,25194,273,0,2
200,-2000,0,0,1,70,390,1001,2,3
200,-2000,0,0,0,140,7410,15,0,0
210,1000,0,0,0,6902,182,91,0,0
210,1000,1,3,0,1615,33,39,2,1
180,-2000,0,0,1,34,114,910,0,0
